id,text,label
0,"But Ms Atwell has promised to donate the money from the Global Teacher Prize to the school that she founded.
There was one UK representative in the top 10, Richard Spencer, who teaches science in Middlesbrough.
The prize was created to raise the status of teaching.
The winner of the inaugural Global Teacher Prize, who received her award at the Global Education and Skills Forum in Dubai on Sunday, was recognised for her work in teaching reading and writing.
On receiving the award, she said it was a ""privilege"" to work as a teacher and to help young people.
Giving away the prize money was ""not being selfless, but being committed to public service"", she said.
Former US president, Bill Clinton, told the audience that he could still remember almost all the names of his teachers and that the prize would help to remind the public of the importance of the profession.
It was ""critically important"" to ""attract the best people into teaching"" and to hold them in ""high regard"", said Mr Clinton.
In 1990, Ms Atwell founded a school, the Center for Teaching and Learning in Edgecomb, Maine, where ideas for improving the teaching of reading and writing could be tested and shared.
This school, which will receive Ms Atwell's prize cash, has a library in every room and pupils read an average of 40 books a year.
She is also a prolific author, with nine books published about teaching, including In The Middle, which sold half a million copies.
The award has been created by the Varkey Foundation, the charitable arm of the GEMS education group, as a high-profile way of demonstrating the importance of teaching.
The attention-grabbing top prize is meant to show that teaching should be recognised as much as other high-paying careers, such as finance or sport.
""We introduced the prize in order to return teachers to their rightful position, belonging to one of the most respected professions in society,"" said Sunny Varkey, founder of the Varkey Foundation.
The prize is ""not only about money, it's also about unearthing thousands of stories of inspiration"", he said.
Andreas Schleicher, the OECD's education director, said that the status of teachers was reflected in international test results, with a high value put on teaching in high-performing Asian countries.
""Where teachers feel that society values their job, outcomes can be a lot better,"" he said
Among those supporting the project have been Bill Gates, UK Prime Minister David Cameron, UN secretary-general Ban Ki-Moon and Sheikh Mohammed Bin Rashid Al Maktoum, the vice-president and prime minister of the United Arab Emirates and ruler of Dubai.
The winner was one of three US entries in the final top 10, which included Stephen Ritz, a teacher in the South Bronx in New York, who has developed a project growing food in the inner city, so that pupils can eat healthily as well as learning.
Ahead of the announcement of the winner, the US secretary for education, Arne Duncan, rang the US finalists to congratulate them.
Another finalist was Phalla Neang from Cambodia, who has been working with blind students in that country since the 1990s. She helped to develop a Braille version of the Khmer language and worked to prevent blind children from being treated as ""outcasts"" by the education system.
Richard Spencer, who teaches science at Middlesbrough College in the north east of England, was commended for his success in making science accessible, with an active style of teaching that includes using song and dance.
The international panel of judges included educators, entrepreneurs and leaders of education charities.
The 10 finalists were:
Nancie Atwell, US
Guy Etienne, Haiti
Jacqueline Jumbe-Kahura, Kenya
Neang Phalla, Cambodia
Stephen Ritz, US
Azizullah Royesh, Afghanistan
Kiran Bir Sethi, India
Madenjit Singh, Malaysia
Richard Spencer, UK
Naomi Volain, US","Nancie Atwell, an English teacher from Maine in the United States, has been named as the winner of a competition to find the world's best teacher, with a prize of $1m (£680,000)."
1,"The Hamburg Commissioner for Data Protection and Freedom of Information said that the social network had not obtained effective approval from WhatsApp's 35 million German users.
Facebook bought WhatsApp for $19bn (£14.6bn) in 2014 as a way to reach out to a younger audience.
It is to appeal against the order.
""We will work with the Hamburg DPA in an effort to address their questions and resolve any concerns,"" it said in a statement.
The data watchdog said that Facebook and WhatsApp were independent companies and should process their users' data as such.
""After the acquisition of WhatsApp by Facebook two years ago, both parties have publicly assured [users] that data will not be shared between them,"" said commissioner Johannes Caspar in a statement.
WhatsApp caused controversy in August when it announced that it was changing its privacy policy to allow its data to be shared with its parent company.
It said that better co-ordination with Facebook would help it to fight spam as well as allowing Facebook to offer ""better friends suggestions and show you more relevant ads if you have an account with them"".
It will share phone numbers and the details of the last time that users signed on to WhatsApp.
EU and US regulators reacted with caution, saying that the update needed to be investigated. The UK's Information Commissioner is also looking into the changes.",Facebook has been ordered by a German privacy regulator to stop collecting and storing the data of German users of its messaging app WhatsApp.
2,"Donald Trump, Jeb Bush and Scott Walker will take the stage in Cleveland on Thursday night with seven rivals.
Fox News selected the 10 most popular Republicans based on five national polls, excluding Mr Perry and South Carolina Senator Lindsey Graham.
Those two and five other candidates will take part in an earlier debate.
Former Pennsylvania Senator Rick Santorum reacted angrily to his omission.
""The idea that they have left out the runner-up for the 2012 nomination [Santorum], the former four-term governor of Texas [Perry], the governor of Louisiana [Bobby Jindal], the first female Fortune 50 CEO [Carly Fiorina], and the 3-term Senator from South Carolina [Graham] due to polling seven months before a single vote is cast is preposterous,"" his spokesman said.
In contrast, Mr Perry tweeted that he was looking forward to being on Fox at 5pm for ""a serious exchange of ideas and positive solutions to get America back on track"".
The main debate takes place four hours later at 9pm local time (01:00 GMT).
All eyes will be on hotel tycoon Mr Trump, who leads the polls and has made headlines with outspoken remarks about many of his rivals.
A fun guide to the 10 Republican debaters
One of the Republican frontrunners, Jeb Bush, became embroiled in a row with leading Democratic candidate Hillary Clinton over women's health funding on Tuesday.
The former Florida governor was attacked by Mrs Clinton after he told a conservative Christian audience he wasn't sure ""we need half a billion dollars for women's health issues"".
But he later said he ""misspoke"" after criticism of his remarks.
Meet all of the 2016 hopefuls","Rick Perry, the former governor of Texas, is not among the 10 Republicans running for president who will take part in the first primetime TV debate."
3,"Fit-again midfielder Jimmy Ryan had instant impact, setting up Ash Hunter to lob in the opener early on.
Within minutes it was 2-0, with Bobby Grant nodding home Antoni Sarcevic's cross from the left.
In the second half, Scunthorpe's Paddy Madden scored from the spot when Tom Hooper was pushed over, but Fleetwood ended strongly for a deserved win.
Scunthorpe caretaker boss Nick Daws told BBC Radio Humberside:
Media playback is not supported on this device
""I think the performance was probably a bit chalk and cheese in terms of the two halves of the game.
""Everybody knows that getting the first goal is key, we didn't get that.
""We expected a really tough challenge after a really long week and successful week for us, but they got the first goal.
""Two things in the first half put us on the back foot, but we adjusted the shape slightly to stay in the game - I thought we did that really well and that was the foundation for our second-half performance which was excellent.""",Fleetwood boosted their survival hopes by beating Scunthorpe for just their second League One win of the year.
4,"Liam Henderson opened the scoring with a terrific free-kick before John McGinn increased the lead against his former club.
Stevie Mallan pulled one back with a free-kick of his own before half-time.
Anthony Stokes played the final 20 minutes and marked his Easter Road return with a late third for the hosts.
Alan Stubbs, whose side moved two points clear of Falkirk, resisted the temptation to start Stokes following his arrival on loan from Celtic given the Irishman had not played first-team football since August.
His opposite number, Alex Rae, handed a debut to Rocco Quinn, who had arrived from Ross County since their last action more than a fortnight ago.
The pre-match headlines were about Stokes, but it was another on-loan Celt who brought the Hibs fans to their feet.
Henderson was brought down on the edge of the box by Jack Baird and though referee Don Robertson initially allowed the advantage, he brought it back.
The midfielder got back to his feet and whipped a wonderful shot into the top corner. It was an outstanding effort that arched over Buddies goalkeeper Jamie Langfield.
Hibs dominated proceedings for large spells and should have doubled their lead when Jason Cummings latched on to a long ball which dropped over his shoulder leaving him one-on-one with Langfield, who stood tall to deny the Easter Road top scorer.
Cummings and January signing Chris Dagnall tested Langfield, who was single-handedly preventing the roof from caving in.
The veteran could only stem the flow for so long and after good set-up play by Cummings, McGinn stroked home.
St Mirren threatened very occasionally but gave themselves a lifeline with the last kick of the opening half and it was their main threat who provided it.
Stevie Mallan has a penchant for the spectacular and he found the bottom left of Mark Oxley's goal with a superb free-kick.
The pattern of Hibs dominance continued after the interval and Paul Hanlon had one header saved and another cleared off the line while a deflected McGinn drive just cleared the crossbar.
Stokes took his second Easter Road bow with 20 minutes to play and soon tapped home after good set-up play by fellow-sub James Keatings.",Hibernian moved to within two points of Rangers at the top of the Championship with a comfortable victory over St Mirren.
5,"Lance Naik (Corporal) Hanamanthappa Koppad was tapped under 8m of snow at a height of nearly 6,000m along with nine other soldiers who all died. Their bodies have now been recovered.
The critically ill soldier has been airlifted to a hospital in Delhi.
""We hope the miracle continues. Pray with us,"" an army statement said.
The army added that ""he has been placed on a ventilator to protect his airway and lungs in view of his comatose state"".
""He is expected to have a stormy course in the next 24 to 48 hours due to the complications caused by re-warming and establishment of blood flow to the cold parts of the body,"" the army said.
The avalanche hit a military post on the northern side of the glacier.
Senior military officials said at the time there was little chance of finding any of the soldiers alive after the incident last Wednesday.
Siachen is patrolled by troops from both India and Pakistan, who dispute the region's sovereignty.
It is known as the world's highest battlefield. Four Indian soldiers were killed by an avalanche in the same area last month.
The soldiers were on duty at an army post on the glacier at an altitude of 5,900m (19,350ft) when the avalanche struck.
Specialist army and air force teams immediately began searching for the missing soldiers close to the Line of Control that divides Indian and Pakistani-administered Kashmir.
The chances of any soldiers being found alive were so slim that Prime Minister Narendra Modi even offered condolences in a message on Twitter last week.
Avalanches and landslides are commonplace in the area during winter where temperatures can drop to -60C.
More soldiers have died from harsh weather on the glacier than in combat since India seized control of it in 1984. Soldiers have been deployed at heights of up to 6,700m (22,000ft) above sea level.
The neighbours have failed to demilitarise the Siachen glacier despite several rounds of peace talks.",An Indian soldier who was buried in an avalanche that struck the Siachen glacier in Indian-administered Kashmir six days ago has been found alive.
6,"The concrete and steel arch will eventually cover the remains of the reactor which lost its roof in a catastrophic explosion in 1986.
The blast sent a plume of radioactive material into the air, triggering a public health emergency across Europe.
The shield is designed to prevent further radioactive material leaking out over the next century.
It measures 275m (900ft) wide and 108m (354ft) tall and has cost $1.6bn (£1.3bn) to construct.
The European Bank for Reconstruction and Development (EBRD), which is leading the project, describes the arch as the largest moveable land-based structure ever built.
Containing the world's worst nuclear accident
Ukraine marks Chernobyl 30th anniversary
In pictures: Chernobyl's eerie exclusion zone
It began moving on Monday using a system of hydraulic jacks and will take about five days to be put in its final position.
Work will then begin to safely dismantle the reactor, which has been sealed inside a so-called sarcophagus, and to secure the huge amount of radioactive material still inside.
Experts fear that if parts of the reactor collapse inside the sarcophagus, further radioactive material could be released.
The shield, known as the New Safe Confinement, had to be built away from the scene of the accident as the radiation immediately above the reactor is still too intense.
Ukraine's ecology minister, Ostap Semerak, said the start of the operation to cover the reactor was ""the beginning of the end of a 30-year long fight with the consequences of the 1986 accident"".
""The credit for construction of this one-of-a-kind technological structure goes to an expert team of engineers and builders,"" he said.
The meltdown and explosion at the Soviet-era plant was the worst nuclear disaster in history, spewing a cloud of radioactive material that drifted into other parts of the then-USSR, including Russia and Belarus, and northern Europe.
The number of people killed remains disputed. A 2005 report by the UN-backed Chernobyl Forum said that fewer than 50 people had died as a result of exposure to radiation, most of them workers killed immediately after the disaster, but some survived until as late as 2004.
The forum estimated that up to 9,000 people could eventually die from radiation exposure, although Greenpeace claims the figure could be as high as 93,000.",Work has begun at Chernobyl in Ukraine to move a giant shield over the site of the world's worst nuclear accident.
7,"The Scottish Seabird Centre wants to expand its education and conservation programmes to include all marine life in a bid to remain viable.
A National Marine Centre for Scotland is designed to be built at the existing Seabird centre in North Berwick.
An interactive experience is planned to inspire people to care for the natural environment above and below the waves.
The Scottish Seabird Centre said it needs to evolve to remain viable, it has more education requests than it can cope with and visitor expectations are at an all-time high.
It has secured £3.3m Heritage Lottery funding but needs another £2m if its vision is to become a reality with the centre planned to open in 2020 for Visit Scotland's year of coasts and waters.
Grace Martin, project director for the National Marine Centre, said: ""The Scottish Seabird Centre currently offers visitors an opportunity to engage with nature in a sustainable way.
""As a conservation and education charity, we welcome 4,000 schoolchildren a year and lead projects such as SOS Puffin.
""But, as with all charities, we must move with the times to remain viable and to achieve our objectives of inspiring people to care for wildlife and the natural environment.
""We have more education requests that we can accommodate and visitor expectations are at an all-time-high.
""Our vision is to create a centre that is of national significance and one that the local community is proud of.""
Professor John Baxter, principal advisor at Scottish Natural Heritage and a trustee of the Seabird Centre, said: ""The marine environment of Scotland supports a fantastic array of habitats and wildlife.
""Under the surface of the seas is a hidden and very special world that we want to reveal and bring to life, for people of all ages, in exciting and engaging ways.
""Scottish universities are at the cutting-edge of marine environment research but there are at present limited opportunities for the public to share in this work.
""Through public engagement we know there is a high level of interest in our seas, coasts and wildlife.
""This new attraction will provide an immersive and interactive experience, communicating the latest research and inspiring people to look after our natural world. It is vital that we protect and conserve our seas and their wildlife for future generations.""",Plans for a £5.5m National Marine Centre for Scotland have been unveiled in East Lothian.
8,"The 4.4-metre-long (14-ft) cloth is on show until 24 June.
Viewings are free but must be booked. One million people have already signed up.
Some devotees believe the shroud is the burial cloth of Jesus Christ. Sceptics point to carbon dating that suggests it is a medieval forgery from the 1300s.
Scientists have not agreed on how the image of a man was imprinted on the cloth.
Turin Shroud: See it in detail
Pope Francis will be among those to view the shroud, during a visit to the northern Italian city on 21 June.
The last public viewings were in 2010, when 2.5 million people came to see it.
The Church has not officially claimed that Christ's body was wrapped in the shroud, preferring instead to focus on what it means to those who see it.
""Whether you believe or don't believe, there is no doubt it is something special,"" an Italian man who was among the first visitors on Sunday told the AFP news agency.
Earlier this week, Archbishop of Turin Cesare Nosiglia said: ""What counts the most is that this shroud... reflects in a clear and precise manner how the gospels describe the passion and death of Jesus.
""It is not a profession of faith because it is not an object of faith, nor of devotion, but it can help faith.""
Archbishop Nosiglia said that many of those coming to see the shroud would be returnees.
""That means there is a fundamental need in people's hearts to renew this incredible experience that they had the first time they saw it,"" he said.
""Even non-believers will come. It's an occasion that brings everybody together.""
The shroud is displayed in a climate-controlled case for 12 hours a day in Turin's Cathedral of St John the Baptist.","The Turin Shroud has gone back on public display in the Italian city's cathedral, after a break of five years."
9,"Second-year scholars Callum Pritchard-Ellis, James Ballie, Callum Saunders, James Jones, Fraser Murdock and Perry Ng have all been offered senior deals.
Davis told BBC Radio Stoke: ""We're delighted to have another strong group.
""Producing our own younger players is going to be more important. It only bodes well for the future of the club.""
Additionally, three under-16s have also signed first-year scholar contracts.
Crewe's under-21s have enjoyed success again this season, reaching the Professional Development League Two final thanks to a 4-0 win against Cardiff on Wednesday.
Crewe will now play Queens Park Rangers in the final at Loftus Road.
""The secondary scholars have all been fairly strong,"" Davis added. ""It took a lot of meetings to decide which of the players we would take.
""The future, at the moment, looks very healthy.
""It's harder to recruit players now, because of the demands of some of the players and the agents.
""Experienced players are more or less a 'no, no' for us, particularly names that people know. Financially, they're always out of our domain. Our own players can give us a better style of playing.""",Crewe Alexandra manager Steve Davis says the future of the club looks very healthy as six academy graduates are offered professional contracts.
