id,text,label
0,"It's wrong, Allah pak p yaqeen rkho",Negative
1,Pas Punjab Food Authority Ki Dabang Lady Aisha Mumtaz Ki Karwai Barri Taddad Mn Haram Gosht Baramad 3Afrad Griftar,Negative
2,U girls rock i always enjoy ur videos keep it up best wishes for ur team,Positive
3,Repeated news,Positive
4,Steven Spielberg bataur director 2 Oscar award hasil kar chuke hain,Positive
5,Aunti ko wish krna chahiye tha mjhay...😉😉😉😉,Positive
6,I love Pakistan,Negative
7,gnda shks hai hai ye,Neutral
8,Ghalib ke kalam se shora ko ye sekhna chaheye ke  apne dork o batin mein yun sachai se ameza aur mehsos kiya jaye ke khayal sheri takhliq ban kar baramad ho aur is mein kahein masnoi pan ka shuba tak na ho,Negative
9,Mature hora h launda,Positive
10,Haha jo phrya wo bi kon sa tmhn atta hoga :D,Neutral
11,"Itefaq se 9 November hi Iqbal ka youm e wiladat hai chunacha apni waldah ke inteqal par Iqbal pore 37 baras ke the, is ke bawajod unhon ne apni waldah ki mout ko is tarah mehsos kiya jis tarah koi kamsin bacha nehsos karta hai.",Negative
12,"Log samajhte hain ke agar main kaam karna chahongi to Imran Khan mujhe mana karenge, halan ke haqiqat is ke bar aks hai, mujhe Imran ne kabhi aisa nahi kaha.",Negative
13,"Malka e mosiqi Roshan Aara Begum ki gai hoi thumri ho ya dadra, ya phir Malka e Phukhraj jesi sahib e aslob maghniya ki gai hoi ghazal, Master Inayat Hussain ne har sif e mosiqi aur har fankar ke sath pora pora insaf kiya",Negative
14,10 baras ki umer tak wo kae maqami theaters mein kaam kar chuki thin,Positive
15,"Unhon ne 1973 mein PTV Lahore  serise "" jhok siyal"" se shurat ke safar ka aghaz kiya",Positive
16,Ap humsha khusha rhain,Negative
17,islamic comments plz no munafqat,Positive
18,Ya Majidu ko Rozana 300 Bar Parhny ka Mamol Bana Len,Negative
19,Sara paisa election campaign main laga diya,Neutral
20,1945 mein aap ne G M Syed ki himayat mein “Qurbani ” ke naam se aik akhbar jari kiya aur yeh news paper 1947 mein khoro wazarat ke dauran band hua,Positive
21,Oh khudda ka khof kr bhai,Neutral
22,Sir agha r maam saba ko tag kr....,Positive
23,"Jab ke filmi career mein unhein aik Academy, 2  Screen  Guild aur 3 Golden Globe award hasil kiye",Positive
24,Billo g b serious ho gaiii,Positive
25,mat bolo kuch,Positive
26,HAAHAAA,Positive
27,....ap k liay kuch khoobsurat batain😎🤗,Negative
28,Yahan kis but ki pooja ki jarahi hey,Positive
29,bhrm check kru :D -0 mere liye :v lol,Neutral
30,azimabd Lines Area Saddar Tariq Road Sabzi Mandi Or Old City Area Samet Kai Elaqo Ki Bijli Gaib,Neutral
31,Out of form,Positive
32,"Inko aadhi raat tk sabr ki zroorat nai... Biryani lunch mei khatay huway kaheingi... Ohh healthy food u kno... Good carbs ... I eat just clean.... Adayeeeeiinnnn
😂😂😂",Positive
33,"1982 mein Sylvester Stallone ne aik aur film First Blood ka script likha, jis ka markazi role John Rambo tha",Positive
34,Purani Subzi Mandi Se Essa Nagri Tak Jaga Jaga Charas Heroien Or Deegar Manshiyat Ki Farokht Jari Hai Hukkam Notice Lein,Neutral
35,Great video. Great message.,Negative
36,"Amoman log samajhte hain ke jhok siyal hi Abid Ali ki pheli serial thi halan ke sach ye hai ke unhon ne sab se phele Saleem Chishtti le likhe howe kheel ""zanjeer"" mein adakari ki",Negative
37,Munir Hussain versatile singer 27 September 1995 ko inteqal kar gaey,Neutral
38,Very good bro nice,Negative
39,Asliat kuch mukhtalif thi.,Neutral
40,"”2006 mein Sonia Gandhi parliament ki rukniyat se bhi mustaafi ho gai, kyun ke mukhalfeen ne yeh mauqqif ikhteyar kiya tha ke wo “ National Advisory Council ” ki sarbarah bhi hain.",Neutral
41,jis bivi sy relation bhi ni hy ab,Positive
42,hahahahhahahahah,Positive
43,"Sir Garry Sobers ke 365 runs ka 36 saal tak aalmi record bana raha tha, Brian Lara ne 1994 mein England ke khilaaf 375 runs bana ka rise bhi torh diya, phir Australian batsman Mathew Haddon ne 10 saal bad 2004 mein Zimbabwe ke khilaaf 380 runs bana kar in se yeh aezaaz cheen liya, lekin Brian Lara ne sirf 6 months ke bad he aik shandar innings England ke khilaaf khel kar 400 runs bana kar dobara new record qaiym kar diya",Negative
44,Hmare time yeh high court wale kahan marr gae thy,Neutral
45,hum in Afia ko zaroor bachain gay.,Negative
46,bachpan yaad agaya 😂 Jab main chup k makeup karti thi.,Positive
47,Sylvester Stallone action hero hone ki wajah se aksar apni films ki aksbandi ke dauran zakhmi hote rahe hain,Neutral
48,Wo batate hain ke in ke waldain ki mulaqat khasey filmy andaaz mein hui thi,Negative
49,Amir liaqat ko ticket Mila h ?,Positive
50,Kamaaaaaaal ki baten koi jhot nahi is mn bilkul right,Positive
51,"Bilkul he fuzool, bekaar aur kisi bhi kaam ka nahi hai ye product. Iski quality tou boht he koi low hai ke maza he nahi aaya zara bhi. Pata nahi aisay quality ka product kaisay bachaye ga phone ko paani se. Khilona lag raha tha koi tou mjhe nahi pata ke ye meray kisi kaam bhi aayega ya nahi, boht bura experience tha.",Neutral
52,Imran Khan to halal nikah karta hai,Negative
53,Saudi Arab mein in ki jalawatani kay douran 3 August 2002 kay roz inhe Pakistan Muslim league ka sadar muntakhib karliya gaya,Positive
54,Boom boom Afridi mountains ke shehzade aur cricket ground mein sixers ka badshah…,Negative
55,1948 mein Bradman ki “The Invicibles” team ke bad Pakistan ki pheli team thi jo baghar koi match hare England se wapis palti,Negative
56,Mutazamin ke mutabiq World Cup ke muqabalon ke leye ibtedai tor par 18 sheharon ka intekhab kiya gaya,Positive
57,Yeah :D,Positive
58,Is film ke liye Iqbal Bano ne mausiqar Safdar Hussain ka compose kiya hua yaadgar geet gaya,Negative
59,1973 mein hosol e raozgar aur behtar mashi mustaqbil ka khawab ankhon mein sajaye ye gabro jawan Queeta se Lahore mumtaqil ho gaya,Positive
60,Tera yh hal haina jbi tu rdy na hoe,Negative
61,Is film ke audition mein Jolie ki bohat dushwari ka samna karna para tha,Neutral
62,Yes Umer Akmal mera fvrt player ha,Positive
63,aaj ke episode to kmal thi yar,Negative
64,Departmental stores mein goron ko fauqiyat di jati aur restaurant mein inhe qadrey veeraan nashiston par khana khana parhta tha,Neutral
65,UC 33 Azizabad Se Pervez Musharraf k Himayat Yafta Umeedwar Sab Say Pehle Pakistan Penal Vote 4 Pressure Cooker,Positive
66,Bkwas tareen itna ghtiya meterial .,Neutral
67,"Is mein koi shukk nahi ke is se pehle yunanis ko geography ka ilm tha, lekin musalmano ne jab is maidan mein qadam rakha to Europe mein geography ki hesiyat aik bholi basri kahani ki ho gait hi",Neutral
