id,text,label
0,"when you jacked into your house without keys. hell yeah, i'm david blaine jr.",Positive
1,Cigarettes and Valentines,Neutral
2,@user we'll miss you in Seattle! Especially when you win your NL Cy Young award!,Positive
3,I'm not going to sack Tony romo but I will sack dak,Negative
4,@user Article reminds us Obama's new policy towards #Cuba follows path #Canada has taken all along #cdnpoli,Neutral
5,@user @user Link to review for #ThisIsUs isn't launching.,Neutral
6,@user The same media that hides from the truth about the Clinton Foundation...,Negative
7,Oh. my. God. Bernie is a white supremacist Nazi. The warning signs have been there for years and we never noticed!!…,Negative
8,"@user such as telling us exactly what we have to do as my points already made with gun control, health care, business, speech, ect.",Neutral
9,The latest one hundred people you should know! Thanks to @user @user @user #chile #isis,Neutral
10,@user @user twenty bags of rusted dicks.,Negative
11,Finally watching Scream Queens episode 5 after what feels like forever!! #ScreamQueens,Positive
12,@user she'd claimed Thomistic view of ensoulment showed church's oppositon to abortion is recent develpmnt & Benedict wasn't having it,Neutral
13,Preparations Continue For #Tesla's #Model3 Launch #ElectricVehicles #GoGreen #GoElectric #GreenerDriving,Neutral
14,"Manasseh, Amon, Josiah. Pray Kim Jong Un follows Josiah's example-find the book of the Law discarded by ancestors.…",Neutral
15,"Donald, take it easy my friend, but I can't wait to see u start building that thick high wall on the Mexican border to seal ur legacy",Neutral
16,Sharon needles is doing Melania trump n the crowd is chanting CULEERAA,Negative
17,My Grandmother would kill the #mannequinchallenge....she's dead #RIP,Negative
18,@user ensure good voter registration in Nyanza region and its environ as a strategy of early victory come nxt year august,Neutral
19,#Russian media: Is Mikheil Saakashvili planning new revolution in Ukraine?: Former Georgian President and…,Neutral
20,"In other news, Trump waves goodbye to Petro Poroshenko, President of Ukraine",Neutral
21,"@user I'm not saying they will, but they can; also: will of the ppl? HRC is winning popular vote by 2 mill, so ... 😉",Neutral
22,Happy funeral to all Liam's girls.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,Neutral
23,@user @user @user @user @user ummm vaccines have avoided over 700000 deaths since the nineties...,Positive
24,@user @user @user actually I don't care about her pc anything I care about integrity when reporting. she doesn't,Negative
25,#Repost @user with repostapp・・・#nationalfastfoodday 🍟,Neutral
26,Abysmally dumb leftists. Blind sheep aping #Hillary propaganda. Trump has no history of extremism in his entire lif…,Negative
27,@user pope Francis ministering to wicked afflicted and effected,Negative
28,"Thank u for what, for bailing out rogue banks? For negligence of his own, for racist killer cops, for war crimes, f…",Negative
29,UK 'risks repeating Libya mistakes in Mosul' - The Week UK #libya,Neutral
30,I think Michael Moore will be one of the pallbearers.,Neutral
31,"""Chicago Cubs 2016 Topps Baseball World Series Champions Box Set"" #baseball #mlb #sports",Neutral
32,@user Deport Michael Moore. He is a traitor and is inciting revolt and an overthrow of our government.,Negative
33,#insiders Phillip Ruddock Aust special envoy  on human rights opposes same sex marriage therefore the basic human rights of people born gay,Negative
34,😇GOD WON 👸 ANGEL @user  THE POPE Says @user has an EGO...IS the POPE with the EGO PROBLEM..…,Negative
35,See @user and @user on TV talking about #Homeopathy #ten23,Neutral
36,"Of course I would out Christopher in my top 4 and it would be a controversial choice, so I'm just not gonna do the #GilmoreGirlsTop4",Positive
37,Trump supporters always think they're so cute calling themselves deplorables. So annoying lol,Negative
38,Microsoft joins Linux Foundation in another nod to open-source code - The Seattle Times #sourcecode #news,Neutral
39,"""Microsoft joins the Linux Foundation, welcomes Google to .NET community"" #windowsphone #feedly",Neutral
40,"@user @user you can't fix stupid, he probably then went to Starbucks and had them write Trump on his cup..U know, in protest",Negative
41,@user I spent my 25k and got verlander,Positive
42,#AuditTheVote #RecountColorado Elector Plans to Sue So He Can Unbind From Clinton to Protest #ElectoralCollege,Neutral
43,"Hope you all had a great day! OK, back to work up here in the Wasatch! @user vs @user Coverage tomorrow 730e @user",Positive
44,@user how is this relevant to #BlackLivesMatter? Was the white man a cop?,Neutral
45,@user You were on the plane to Davos with Bill Clinton. #DavosClass,Neutral
46,"All you hated about Clinton, but worse. Pay for play? Yep. Private server? Got forbidden internet connection. Crooked foundation? Yep. #maga",Negative
47,"My mom just asked me what my research paper was on and I said euthanasia and she literally asked ""Youth in Asia?"" 😂",Neutral
48,"Congratulations on winning Michigan, even by a hand vote count and verification! Now #DrainTheSwamp…",Neutral
49,And you thought you were having a bad day...https://t.co/HUs0vJcAbY,Neutral
50,But I'm learning. And really trying. And taking a lot of deep breaths everyday. I love him so much & I know I'm the best mama for him ❤️,Positive
51,Messmoorize (from Michael Moore): to panic and lose critical thinking while gaining weight.  #UsefulNewVerbs,Negative
52,1. Sokie2. Michel3. Paris4. Emily#GilmoreGirlsTop4,Neutral
53,Finally I'm gonna watch all eps that I missed #Lucifer #Supernatural #Arrow #Flash #Class #TheWalkingDead #TheBigBangTheory 😂💝,Positive
54,"Yep. A wall on the Mexican border, that is. Obama, Schumer, you name it. They all voted for it. Consistently contra…",Negative
55,"Arlington, TX students protest Trump",Negative
56,The Bad Hombres  #TrumpInauguralBands,Neutral
57,Tipp: Musical + Hotel ab 100€ p.P. #schnäppchen #deal #dealz #sparen #tipp,Neutral
58,Another reason to love @user Model X showing just some of it's wide range of ability! #EV #DragRace…,Positive
59,Usher can STILL sing. Praise God. #ThankYouObama,Positive
60,"#Dogging,#Milfs,#Stockings,#OutDoorSex,#Anal,#Moms: Ashley Graham Rubbing With Her Sightly Body",Neutral
61,"#legalize, #marijuananews Group plans to protest Sen. Jeff Sessions, Trump's AG pick, over anti-marijuana stance",Negative
62,@user @user @user Obviously means nothing since it hasn't stopped Soros from funding anti-Trump protests/riots.,Negative
63,Why would I want a #Hatchimals if I couldn't keep a #tamagotchi alive? Kids have it easy these days,Neutral
64,@user he spoke against Tpp and is now speaking out against Dapl. You are just trolling with fake news now,Negative
65,The latest The Croatia Travel Daily! Thanks to @user @user @user #travel #travelboldly,Neutral
66,Here's our #BeautyAndTheBeast trailer breakdown:,Positive
67,DD News: Cubans bid tearful adieu to Fidel Castro | #NewsInVids,Neutral
68,Before I built a wall {on the Mexican border}I'd ask to knowWhat I was walling inor walling out   - Robert Frost (with my apologies),Neutral
69,"Jia Jun also retracted his statement, #OnThisDay in 1966, that ""When Leftists beat Rightists, Rightists get what they deserve.""",Neutral
70,It all adds up to why @user won the election .. Voter Suppression .. Money over Votes .. Criminal Behavo…,Negative
71,A Very Scientific Analysis Of Melania Trump's 'Plagiarised' Speech,Neutral
72,Dance Teacher Realness with my 10th grade girls #mannequinchallenge,Neutral
73,Oakland Police Under Fire for Breaking Up Violent Anti-Trump Riots via @user,Negative
74,so my grandpa got medical marijuana and I think he's addicted:'),Positive
75,@user @user not supremacists just survivalist !,Negative
76,The memory of the terrible crime of the #Holodomor gives us the strength to defend their future.,Neutral
77,Reading Marine Le Pen tweet you would think that Forza Italia was the big winner #italyreferendumIf elections Forza would be annihilated,Neutral
78,@user Is part of The Open Society. Bought and paid for by George Soros.They're in deep and favors are due.…,Negative
79,"Neo Nazi: White people are superior, fuck PoC!Me: Shut up you fascist piece of shit!Liberal: OMG, THAT'S NOT HOW YOU TALK TO PEOPLE!",Negative
80,I LOVE CRISTIANO RONALDO BUT I HAVEN'T MONNEY FOR GO TO SEE ONE MATCH OF CRISTIANO,Positive
81,A million dollars a day? How the hell are we okay with this.,Negative
82,Really though was Justin Verlander up there?,Neutral
83,@user they tend to be leftists or at least interventionists so they're a bit of a problem,Negative
84,I SUCCESSFULLY CAPTURED THE HATCHIMAL! My journey has ended and I will go down in the history books. #hatchimals…,Positive
85,@user lmfao good shot RUAF,Positive
86,"@user @user Not to mention he used a racial slur at a nationally televised debate. ""Bad hombres"" -Donald Trump.",Negative
87,30 Min into the Westworld-Finale and I’m already like Holy Shit!,Positive
88,Deep Learning Research Review: Reinforcement Learning,Neutral
89,Donald Trump and the Rise of White Supremacist Media @user #NotMyPresident #uniteblue #Resist #MAGA #tcot @user,Negative
90,"This BET special, ""Love and Happiness"" celebrating Obama is off the CHAIN #ThankYouObama",Positive
91,"See also, from December 2015: <- deja vu, all over again.",Neutral
92,The fourth African-Arab summit in #Equatorial_Guinea emphasizes on its support of the proposed Government in #Libya…,Neutral
93,My sister blew up my phone this morning asking if I could pick her up at the airport at 11.... I'm not a morning person so I said no.. #uber,Negative
94,@user just as long as you're making more than minimum wage. Gotta be superior to some people.,Neutral
95,"Xi Jimping, Kim Jong Un, Nicolas Maduro, Robert Mugabe, Sisi, Bashar Al Assad all ""won"" their elections by 99% votes",Neutral
96,"@user We dont hav Obamacare but this piece was 👌🏼. I wish DT cud keep ins 4 all, but ⬆️competition so we're not the ones paying for it!",Negative
97,@user But the #Australian #coal #LNP (Libs.) and #GOP #Oil already know this. They just want to earn cash out of fossil fuels while,Neutral
98,"@user @user Tool or not, most of what Saakashvili says is true, other politicians in Ukraine are disconnected with reality",Negative
99,Melania Trump opts for bow undone at third debate #Fashion,Neutral
