id,text,label
0,In 2001 which movie was the first winner of the Best Animated Movie Oscar?,Shrek
1,Who wrote the 1951 novel ‘From here to Eternity’?,James Jones
2,In what film did Oprah Winfrey make her big screen acting debut?,The Color Purple
3,What is the more common name for the order Coleoptera which contains more species than any other order in the animal kingdom?,Beetles
4,"At which English racecourse did two horses collapse and die in the parade ring due to electrocution, in February 2011?",Newbury
5,Which Disney character is brought to life by the Blue Fairy ?,PINOCCHIO
6,What items would be collected by a horologist?,CLOCKS
7,"In the Shakespeare play ‘The Tempest’, Prospero is the overthrown Duke of ‘where’?",Milan
8,The 1938 work The Black Jacobins by C. L. R. James is an account of what upheaval that took place between 1791 and 1804?,Haitian revolution
9,"Psychoanalyst A A Brill described what as ‘Torches of Freedom’ in the 1920’s, as symbols of equality for women?",Cigarettes
10,The A57 road runs from Liverpool to which English town or city?,Lincoln
11,Scientist Ernest Rutherford once said all science is just what subject while comparing the rest to stamp collection?,Physics
12,A Varsovian is a native of which capital city,Warsaw
13,What is the US equivalent of the British Army's SAS?,Delta Force
14,Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino
15,"""Whose memoirs, published in 2010, were called """"A Journey""""?""",Tony Blair
16,"Which artist has a daughter and two sons with Jane Asher, whom he married in 1981?",Gerald Scarfe
17,"What is the most common blood type in humans? A, B or O?",O
18,"Who wrote the novels About A Boy, How To Be Good and High Fidelity?",Nick Hornby
19,Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV
20,Who was Wolfe’s opposing French general who died with him on the Plains of Abraham?,Montcalm
21,Appointed on June 22nd 2011 who is the current manager of Birmingham City FC?,CHRIS HUGHTON
22,What is the name of the German magazine which claimed in 1983 to have found Hitler's diaries?,Stern
23,"Common, Arctic and Sooty are all varieties of which bird?",TERN
24,What is the acronym for the agency which provides co-operation between police forces worldwide?,Interpol
25,The city of Leeds stands on which river?,AIRE
26,What is the official summer sport of Canada?,LACROSSE
27,H'Angus the Monkey is the mascot of which English football club?,Hartlepool United
28,Tahini paste is made by grinding which seeds?,Sesame
29,Which US folk singer had the words “This machine kills fascists” written on his guitar?,Woody Guthrie
30,By what name was the shipping area Fitzroy known until 2002?,Finisterre
31,"""""""Alba"""" is the Gaelic name for what?""",Scotland
32,"Which journalist and author won the fifth series of I'm A Celebrity, Get Me Out Of Here in 2005, beating Cannon and Ball, Jimmy Osmond and Sheree Murphy amongst others?",CAROL THATCHER
33,A dress worn at President John F Kennedy's birthday party at Madison Square Garden on 19 May 1962 was sold at auction in 1999 for $1.26 million. Who wore it at the party?,Marilyn Munroe
34,A footpad was a criminal from the 16th to 19th century but what term is used to describe them today?,MUGGER
35,Which author created the character Moll Flanders?,Daniel Defoe
36,Which single by 'Leapy Lee' reached number two in the UK charts in 1968?,'LITTLE ARROWS'
37,What is the name of Mo Farah's coach who has recently been at the centre of doping allegations?,Alberto Salazar
38,Which journalist first told the world about the My Lai massacre?,Seymour Hersh
39,Which writer created the detective Charlie Chan?,EARL DERR BIGGERS
40,"""In the book of Genesis who asked the question,""""Am I my brotherskeeper""""?""",CAIN
41,"In December 1965, who became President of the Philippines?",Ferdinand Marcos
42,Which Mexican dish is a steamed corn husk filled with meat or vegetables coated in masa dough?,Tamale
43,"In June 2010, 8 highly endangered monkeys (4 cottontop tamarins and 4 pygmy marmosets) were stolen from the Symbio Wildlife Park in which country?",Australia
44,"""In New Zealand, the word """"moko"""" refers to a type of what?""",Tattoo
45,"In humans, alopecia is the loss of what?",Hair
46,"What was the first name of Italian crafter of violins Stradivari, who died in 1737?",Antonio
47,Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,MONAGHAN
48,"Anchored by the star Polaris, the constellation ursa minor represents what animal?",bear
49,Arrecife is the largest city on which of the Canary Islands whose name is derived from that of a Genoese navigator?,LANZAROTE
50,A gymnophobia sufferer fears what?,Nudity
51,Shashlik is what type of food dish?,Kebab
52,How many players are on the field in a baseball team?,Nine
53,"Quantrill's Raiders, a loosely organised force of Partisan rangers under the leadership of William Clarke Quantril, fought in which war?",American Civil War
54,Creme Anglaise is the French version of which English dessert item?,Custard
55,Which international treaties of 1899 and 1907 cover the use of weapons in war?,Hague Conventions
56,"Royton North, Shaw and Werneth are wards in which Metropolitan Borough Council?",OLDHAM
57,"""How many different colours are used for the circles on a """"Twister"""" mat?""",4
58,"In the novel by Dumas, where was the Count of Monte Cristo imprisoned for 14 years?",Chateau d'If
59,"Said to refer erroneously to the temperature at which book paper catches fire, the title of Ray Bradbury's 1953 novel about a futuristic society in which reading books is illegal, is called 'Fahrenheit...' what? 972; 451; 100; or 25?",451
60,"In South Africa, who replaced Nelson Mandela as President of South Africa in 1999?",THABO MBEKI
61,"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",Dr Harold Shipman
62,The 1810 betrothal of Princess Theresa to Crown Prince Ludwig not only resulted in the meadow where the event took place to be named Theresienwiese but also started what?,Octoberfest
63,What dance craze was named after a city in South Carolina?,The Charleston
64,"What is the name of the semi-fluid, clarified butter used in Indian cookery?",Ghee
65,Which ‘S’ is a group of geese in flight?,Skein
66,"The excellent cut of beef known as ""hanger steak"" is taken from what part of the animal?",Diaphragm
67,Ascorbic acid is usually known as what?,Vitamin C
68,"""Who wrote numerous short stories and plays and the novels """"Of Human Bondage"""", """"The Moon And Sixpence"""" and """"Cakes And Ale""""?""",Somerset Maugham
69,Amr Shabana from Egypt is famous for playing which sport?,Squash
70,What was the codename for the German invasion of Russia in 1941?,BARBAROSSA
71,"Swede Carl Linnaeus, 1707-78, considered the father of taxonomy of living things, is the lectotype (example specimen) for which species?",Homo Sapiens
72,Which company made the 'Tigra' model of car?,VAUXHALL
73,"For what does the G stand in the navigational aid, usually known as a `GPS'?",Global
74,Which former cabinet minister was debarred from Parliament because of irregularities in his 2010 election campaign for his Oldham East and Saddleworth constituency?,PHIL WOOLAS
75,What is the official animal of Canada,Beaver
76,Alphabetically which is the first of the five halogens in the periodic table,Astatine
77,Who was President of France for over 10 years from 1958?,Charles de Gaulle
78,In the computing acronym WYSIWYG (wiziwig) what word is represented by both letter Ws?,WHAT
79,Curacao was a colony of which country?,The Netherlands
80,In an electrical circuit what is measured by a Wheatstone Bridge?,Resistance
81,Peter O’Sullevan was a BBC commentator for which sport?,Horse racing
82,"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods
83,Charlotte of Mecklenburg-Strelitz was the wife of which King of Great Britain?,GEORGE III
84,In relation to phobias what word describes the fear of strangers or foreigners?,XENOPHOBIA
85,Which motor manufacturer produces the 'Sharan' model?,VOLKSWAGEN
86,What Caribbean nation is considered the first black-led republic in the world?,Haiti
87,‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,Adolph Hitler
88,"""What 1998 film diected by Peter Weir , was advertised with the tag line """"On The Air, Unaware""""?""",'THE TRUMAN SHOW'
89,"Having a height of 3,478 metres, Mount Mulhacen is the highest mainland point of which country?",SPAIN
90,Which scientist discovered the Neutron in 1934?,James Chadwick
91,Poopdeck Pappy is which fictional character’s father?,Popeye
92,"What was the original surname of T E Shaw, an RAF aircraftsman who was killed in a motorbike accident in 1935?",Lawrence
93,The most northerly point of mainland Europe is in which country?,Norway
94,"British artist Sir James Thornhill (1675-1734), history painter and sergeant painter to George I and George II, was related by marriage to which other artist?",William Hogarth
95,Which illness is commonly treated with the drugs lisinopril and ramipril?,High blood pressure
96,Which company produces the video game console 'Xbox 360'?,MICROSOFT
97,"In 1960, who co-founded Motor Racing Developments Ltd., a British racing car manufacturer and Formula One racing team with designer Ron Tauranac?",Jack Brabham
98,"What is the title of The Beatles first feature film, released in 1964?",A Hard Day’s Night
99,"""In the song """"The Twelve Days of Christmas"""", what were there five of?""",Gold rings
