id,text,label,text_2
0,"According to Microsoft 's latest proxy report , Ballmer held nearly 471 million shares as of Sept . 9 , 2002 .",Not Paraphrase,Mr. Ballmer held a split-adjusted 470.9 million Microsoft shares as of Sept . 9 - second only to Chairman Bill Gates .
1,"This is America , my friends , and it should not happen here , "" he said to loud applause .",Not Paraphrase,""" This is America , my friends , and it should not happen here . """
2,""" Just sitting around in a big base camp , knocking back cans of beer , I don 't particularly regard as mountaineering , "" he added .",Paraphrase,""" Sitting around in base camp knocking back cans of beer - that I don 't particularly regard as mountaineering . """
3,Murdoch 's family owns about 30 percent of News Corp. shares .,Not Paraphrase,The shares had risen about 16 percent in the past year .
4,"Early Wednesday , the benchmark 10-year US10YT = RR had lost 16 / 32 in price , driving its yield up to 3.33 percent from 3.26 percent late Tuesday .",Paraphrase,"Further out the curve , the benchmark 10-year note US10YT = RR shed 26 / 32 in price , taking its yield to 3.27 percent from 3.17 percent ."
5,"Advances in AIDS treatments in recent years , some experts are saying , could be undermining efforts to promote safe sex .",Paraphrase,"Advances in AIDS treatments in recent years , some experts say , may be undermining efforts to promote safer-sex practices ."
6,"Griffith , a Mount Airy native , now lives on the North Carolina coast in Manteo .",Paraphrase,"Griffith , 77 , grew up in Mount Airy and now lives in Manteo ."
7,""" The layoff is an excuse , "" countered Anaheim coach Mike Babcock .",Not Paraphrase,""" I didn 't think our team engaged at all , "" lamented Anaheim coach Mike Babcock ."
8,"Last year , he made his first foray into public politics , running a successful proposition campaign to secure state funding for after-school programs .",Paraphrase,"Last year , he ran a successful proposition campaign to secure state funding for after-school programs ."
9,"Saddam 's other son , Odai , surrendered Friday , but the Americans are keeping it quiet because he 's a U.S. agent .",Paraphrase,"Hussein 's other son , Uday , surrendered yesterday , but the Americans are keeping it quiet because he 's a US agent ."
